Year,Month,Flow,FFD DESC,£000s,Tonnes
2009,3,Total Exports,Pears & quinces fresh,97.781,77.526
2009,3,Total Exports,Pork,9086.7,8114.236
2009,3,Total Exports,Potato products,10641.166,6636.933
2009,3,Total Exports,"Potatoes, fresh or chilled (including seed)",7854.788,25081.871
2009,3,Total Exports,Poultry products,11891.179,3475.666
2009,3,Total Exports,Poultrymeat (inc poultry offal),18235.741,20338.148
2009,3,Total Exports,Processed fats and waxes,5593.873,8384.655
2009,3,Total Exports,Raw beet or cane sugar,10433.642,20273.782
2009,3,Total Exports,Rice,2907.257,2743.937
2009,3,Total Exports,Salmon (inc. smoked),21118.664,5151.484
2009,3,Total Exports,"Sauces, condiments, seasonings",16836.664,8661.283
2009,3,Total Exports,Sausages and related products,1255.743,563.091
2009,3,Total Exports,Shellfish,32154.595,9824.085
2009,3,Total Exports,Spices,1554.167,544.837
2009,3,Total Exports,Sugar confectionery,10770.739,3923.699
2009,3,Total Exports,Sweet biscuits,21664.69,8711.217
2009,3,Total Exports,Tea,17301.186,2652.131
2009,3,Total Exports,"Tomatoes, fresh or chilled",717.858,552.658
2009,3,Total Exports,"Tomatoes, prepared or preserved",437.683,395.222
2009,3,Total Exports,"Vegetable oils and fats, soft, crude, refined or fractionated",34466.688,46101.278
2009,3,Total Exports,"Vegetables, frozen or provisionally prepared",6233.742,8226.504
2009,3,Total Exports,Vodka,8666.108,1548.744
2009,3,Total Exports,"Wheat, unmilled",34166.482,231945.348
2009,3,Total Exports,Whisky,192013.661,44034.61
2009,3,Total Exports,Wine,26389.085,3701.635
2009,3,Total Exports,Yogurt,3574.919,1612.551
2009,3,Total Imports,"Animal oils and fats, not chemically modified",8303.855,8444.601
2009,3,Total Imports,"Apples, fresh",32689.554,44421.087
2009,3,Total Imports,"Apricots, cherries, peaches, plums and sloes (fresh)",8856.803,9988.009
2009,3,Total Imports,Bacon and ham,61536.537,26363.873
2009,3,Total Imports,Bananas,40086.089,77808.848
2009,3,Total Imports,"Barley, unmilled",1310.089,8166.717
2009,3,Total Imports,Beef and veal,61206.504,20136.217
2009,3,Total Imports,Beef products (inc. corned beef),21268.664,8358.76
2009,3,Total Imports,Beer,32468.878,58605.256
2009,3,Total Imports,"Bread, crispbreads, savoury biscuits",68544.12,36427.095
2009,3,Total Imports,Butter,15454.99,5807.044
2009,3,Total Imports,"Cereal, milled",3379.467,8669.185
2009,3,Total Imports,"Cereal, rolled or flaked",15379.07,14115.542
2009,3,Total Imports,Cheese,95731.611,32538.053
2009,3,Total Imports,Chocolate,71479.726,23502.725
2009,3,Total Imports,Cider & other fermented beverages,7940.868,6252.257
2009,3,Total Imports,Cocoa,52999.397,26072.177
2009,3,Total Imports,Coffee,57678.269,21256.838
2009,3,Total Imports,Condensed milk,3574.311,2879.477
2009,3,Total Imports,Dog or cat food for retail,38104.338,34031.395
2009,3,Total Imports,Edible offal and other meat,5643.861,5826.276
2009,3,Total Imports,Eggs & egg products,13062.64,7077.865
